draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
23221,6437.916,1.0,0.405,2.0,7.0,0.0,-6437.725,4.326,0.137
23222,6437.885,0.989,0.406,3.0,9.0,0.0,-6437.522,4.309,0.132
23223,6435.682,1.0,0.459,2.0,3.0,0.0,-6434.945,4.313,0.081
23224,6437.894,0.971,0.49,2.0,7.0,0.0,-6435.982,4.313,0.128
23225,6437.754,0.998,0.405,3.0,11.0,0.0,-6437.56,4.337,0.107
23226,6437.336,0.988,0.406,3.0,7.0,0.0,-6437.156,4.275,0.201
23227,6437.29,1.0,0.459,1.0,3.0,0.0,-6435.859,4.336,0.089
23228,6437.277,0.962,0.49,2.0,7.0,0.0,-6435.62,4.264,0.201
23229,6436.725,0.898,0.405,2.0,3.0,0.0,-6436.657,4.363,0.12
23230,6436.559,0.878,0.406,2.0,7.0,0.0,-6432.361,4.366,0.059
23231,6437.67,0.987,0.459,4.0,15.0,0.0,-6434.337,4.305,0.172
23232,6437.672,0.964,0.49,2.0,3.0,0.0,-6437.07,4.278,0.175
23233,6437.266,0.831,0.405,3.0,7.0,0.0,-6435.056,4.341,0.141
23234,6437.308,0.882,0.406,2.0,3.0,0.0,-6435.591,4.361,0.092
23235,6437.67,0.616,0.459,1.0,3.0,0.0,-6435.985,4.305,0.172
23236,6437.853,0.984,0.49,2.0,7.0,0.0,-6436.427,4.333,0.13
23237,6434.396,0.714,0.405,2.0,7.0,0.0,-6433.933,4.276,0.108
23238,6437.281,0.994,0.406,2.0,3.0,0.0,-6437.23,4.361,0.097
23239,6437.795,0.99,0.459,3.0,7.0,0.0,-6437.453,4.314,0.159
23240,6435.894,0.961,0.49,2.0,7.0,0.0,-6435.552,4.388,0.043
23241,6434.445,0.973,0.405,2.0,3.0,0.0,-6432.967,4.357,0.165
23242,6437.781,0.995,0.406,4.0,15.0,0.0,-6437.049,4.332,0.137
23243,6437.423,0.964,0.459,2.0,7.0,0.0,-6437.118,4.316,0.109
23244,6435.307,0.99,0.49,2.0,3.0,0.0,-6435.203,4.402,0.033
23245,6438.017,1.0,0.405,2.0,3.0,0.0,-6434.376,4.312,0.142
23246,6437.946,0.999,0.406,3.0,11.0,0.0,-6437.452,4.3,0.15
23247,6437.423,0.448,0.459,1.0,3.0,0.0,-6434.164,4.316,0.109
23248,6436.183,0.963,0.49,2.0,3.0,0.0,-6435.012,4.39,0.067
23249,6437.763,0.976,0.405,2.0,7.0,0.0,-6437.501,4.299,0.174
23250,6437.981,0.828,0.406,2.0,3.0,0.0,-6436.618,4.301,0.154
23251,6437.362,0.989,0.459,2.0,7.0,0.0,-6436.833,4.317,0.17
23252,6433.508,0.546,0.49,4.0,15.0,0.0,-6431.556,4.271,0.262
23253,6437.08,0.975,0.405,3.0,11.0,0.0,-6436.65,4.346,0.079
23254,6437.779,0.958,0.406,2.0,3.0,0.0,-6437.732,4.294,0.146
23255,6437.117,0.976,0.459,2.0,7.0,0.0,-6436.418,4.304,0.188
23256,6435.848,1.0,0.49,2.0,3.0,0.0,-6434.129,4.249,0.245
23257,6436.831,0.97,0.405,3.0,9.0,0.0,-6434.824,4.25,0.215
23258,6437.1,0.995,0.406,3.0,15.0,0.0,-6436.788,4.366,0.096
23259,6437.317,0.997,0.459,2.0,7.0,0.0,-6436.048,4.314,0.108
23260,6437.022,0.936,0.49,3.0,7.0,0.0,-6435.28,4.265,0.167
23261,6436.756,0.995,0.405,1.0,1.0,0.0,-6436.75,4.247,0.214
23262,6436.775,0.965,0.406,3.0,7.0,0.0,-6434.53,4.374,0.094
23263,6437.02,0.81,0.459,4.0,15.0,0.0,-6434.558,4.259,0.212
23264,6438.006,0.927,0.49,2.0,7.0,0.0,-6436.003,4.315,0.136
23265,6437.976,0.997,0.405,3.0,11.0,0.0,-6436.337,4.321,0.129
23266,6436.869,0.973,0.406,2.0,3.0,0.0,-6436.518,4.341,0.077
23267,6437.974,0.99,0.459,2.0,7.0,0.0,-6436.076,4.3,0.156
23268,6436.172,0.383,0.49,2.0,7.0,0.0,-6431.57,4.27,0.23
23269,6437.978,0.886,0.405,2.0,3.0,0.0,-6437.166,4.321,0.139
23270,6436.491,0.796,0.406,2.0,3.0,0.0,-6434.503,4.31,0.096
23271,6437.969,0.985,0.459,2.0,7.0,0.0,-6437.234,4.313,0.134
23272,6437.363,1.0,0.49,2.0,3.0,0.0,-6436.128,4.269,0.198
23273,6437.92,0.909,0.405,2.0,3.0,0.0,-6437.339,4.316,0.127
23274,6437.303,0.963,0.406,3.0,15.0,0.0,-6432.463,4.263,0.195
23275,6437.912,0.985,0.459,2.0,7.0,0.0,-6436.618,4.294,0.161
23276,6437.826,0.998,0.49,2.0,3.0,0.0,-6437.356,4.287,0.168
23277,6437.535,0.94,0.405,3.0,11.0,0.0,-6437.183,4.326,0.103
23278,6436.498,0.993,0.406,3.0,7.0,0.0,-6436.36,4.247,0.228
23279,6436.492,0.795,0.459,2.0,7.0,0.0,-6435.613,4.26,0.161
23280,6437.985,0.994,0.49,4.0,15.0,0.0,-6437.382,4.306,0.144
23281,6437.89,0.998,0.405,2.0,7.0,0.0,-6436.939,4.311,0.158
23282,6436.601,1.0,0.406,1.0,1.0,0.0,-6436.5,4.247,0.224
23283,6437.555,0.986,0.459,2.0,7.0,0.0,-6434.156,4.347,0.12
23284,6437.505,0.979,0.49,2.0,7.0,0.0,-6436.875,4.272,0.19
23285,6436.922,0.961,0.405,2.0,7.0,0.0,-6436.319,4.252,0.199
23286,6437.791,0.993,0.406,4.0,15.0,0.0,-6435.458,4.339,0.112
23287,6437.594,0.986,0.459,2.0,7.0,0.0,-6435.28,4.277,0.17
23288,6437.877,1.0,0.49,3.0,9.0,0.0,-6437.513,4.333,0.118
23289,6434.675,0.8,0.405,3.0,7.0,0.0,-6433.968,4.22,0.197
23290,6437.351,0.886,0.406,3.0,11.0,0.0,-6435.903,4.307,0.116
23291,6437.564,0.969,0.459,3.0,7.0,0.0,-6436.969,4.279,0.162
23292,6437.158,0.897,0.49,3.0,7.0,0.0,-6436.208,4.364,0.099
23293,6436.238,1.0,0.405,3.0,11.0,0.0,-6433.591,4.352,0.058
23294,6437.756,1.0,0.406,2.0,3.0,0.0,-6437.433,4.311,0.124
23295,6434.077,0.462,0.459,1.0,3.0,0.0,-6433.614,4.263,0.121
23296,6436.385,0.998,0.49,4.0,15.0,0.0,-6436.25,4.238,0.222
23297,6437.193,1.0,0.405,2.0,3.0,0.0,-6435.883,4.352,0.127
23298,6437.066,0.997,0.406,3.0,7.0,0.0,-6436.861,4.368,0.085
23299,6437.603,1.0,0.459,2.0,3.0,0.0,-6434.359,4.3,0.131
23300,6437.021,0.988,0.49,2.0,3.0,0.0,-6436.292,4.268,0.212
23301,6436.294,0.953,0.405,2.0,3.0,0.0,-6436.019,4.346,0.063
23302,6437.751,0.937,0.406,3.0,7.0,0.0,-6436.549,4.338,0.107
23303,6435.847,0.836,0.459,2.0,3.0,0.0,-6435.643,4.294,0.104
23304,6437.408,0.996,0.49,3.0,11.0,0.0,-6436.862,4.356,0.093
23305,6436.952,0.955,0.405,3.0,11.0,0.0,-6434.974,4.264,0.215
23306,6437.751,0.706,0.406,2.0,7.0,0.0,-6433.68,4.338,0.107
23307,6437.471,0.998,0.459,2.0,7.0,0.0,-6435.96,4.317,0.109
23308,6437.379,0.926,0.49,2.0,7.0,0.0,-6435.312,4.271,0.198
23309,6436.653,0.973,0.405,2.0,3.0,0.0,-6436.591,4.271,0.22
23310,6437.621,0.99,0.406,1.0,3.0,0.0,-6437.492,4.349,0.105
23311,6437.869,0.999,0.459,2.0,7.0,0.0,-6436.77,4.3,0.168
23312,6436.871,0.899,0.49,2.0,3.0,0.0,-6436.825,4.282,0.21
23313,6437.795,1.0,0.405,4.0,15.0,0.0,-6435.771,4.287,0.175
23314,6437.567,0.636,0.406,2.0,3.0,0.0,-6434.333,4.32,0.109
23315,6437.202,0.934,0.459,4.0,15.0,0.0,-6436.597,4.296,0.193
23316,6436.697,0.834,0.49,2.0,3.0,0.0,-6435.239,4.256,0.224
23317,6437.846,0.98,0.405,3.0,9.0,0.0,-6435.87,4.333,0.114
23318,6436.869,0.94,0.406,3.0,11.0,0.0,-6436.646,4.317,0.18
23319,6437.581,0.991,0.459,1.0,3.0,0.0,-6436.951,4.275,0.185
23320,6437.565,0.827,0.49,2.0,5.0,0.0,-6435.452,4.296,0.183
23321,6437.425,0.986,0.405,3.0,7.0,0.0,-6437.392,4.356,0.101
23322,6436.539,0.996,0.406,4.0,15.0,0.0,-6436.34,4.256,0.17
23323,6437.8,0.975,0.459,3.0,7.0,0.0,-6437.4,4.293,0.15
23324,6437.856,0.847,0.49,2.0,3.0,0.0,-6436.696,4.311,0.16
23325,6437.426,0.932,0.405,2.0,3.0,0.0,-6436.798,4.35,0.089
23326,6437.277,0.97,0.406,4.0,15.0,0.0,-6435.841,4.331,0.155
23327,6437.712,0.995,0.459,2.0,7.0,0.0,-6437.094,4.281,0.17
23328,6437.749,1.0,0.49,3.0,9.0,0.0,-6437.594,4.341,0.108
23329,6437.29,0.971,0.405,3.0,9.0,0.0,-6436.929,4.271,0.203
23330,6437.695,1.0,0.406,2.0,3.0,0.0,-6437.362,4.325,0.15
23331,6437.952,0.996,0.459,3.0,9.0,0.0,-6437.117,4.321,0.143
23332,6437.87,0.948,0.49,2.0,3.0,0.0,-6437.475,4.326,0.117
23333,6437.198,0.93,0.405,2.0,3.0,0.0,-6436.697,4.284,0.201
23334,6437.612,0.957,0.406,3.0,7.0,0.0,-6437.1,4.288,0.186
23335,6436.219,0.894,0.459,2.0,7.0,0.0,-6433.597,4.389,0.065
23336,6437.723,0.971,0.49,3.0,7.0,0.0,-6437.443,4.321,0.114
23337,6437.306,0.989,0.405,1.0,3.0,0.0,-6436.682,4.265,0.199
23338,6436.615,0.796,0.406,2.0,7.0,0.0,-6434.555,4.341,0.156
23339,6437.902,0.978,0.459,4.0,15.0,0.0,-6435.015,4.294,0.166
23340,6437.791,0.992,0.49,3.0,7.0,0.0,-6437.509,4.287,0.161
23341,6437.589,0.995,0.405,1.0,3.0,0.0,-6437.014,4.277,0.188
23342,6436.266,0.954,0.406,2.0,3.0,0.0,-6435.793,4.308,0.094
23343,6436.848,0.816,0.459,2.0,3.0,0.0,-6436.412,4.282,0.136
23344,6437.372,0.9,0.49,2.0,7.0,0.0,-6436.992,4.324,0.161
23345,6437.675,0.962,0.405,3.0,7.0,0.0,-6437.245,4.285,0.157
23346,6436.821,0.851,0.406,2.0,3.0,0.0,-6433.982,4.295,0.119
23347,6437.824,1.0,0.459,2.0,3.0,0.0,-6437.065,4.311,0.161
23348,6437.478,0.972,0.49,2.0,7.0,0.0,-6436.059,4.348,0.092
23349,6437.76,0.965,0.405,2.0,3.0,0.0,-6437.313,4.291,0.151
23350,6436.867,0.989,0.406,4.0,15.0,0.0,-6435.681,4.331,0.084
23351,6437.346,0.992,0.459,4.0,15.0,0.0,-6437.064,4.359,0.1
23352,6437.811,0.966,0.49,2.0,3.0,0.0,-6437.291,4.337,0.112
23353,6437.77,0.913,0.405,2.0,7.0,0.0,-6435.509,4.327,0.145
23354,6436.691,0.985,0.406,2.0,3.0,0.0,-6436.446,4.368,0.111
23355,6437.116,0.977,0.459,1.0,3.0,0.0,-6436.791,4.358,0.077
23356,6437.42,0.978,0.49,2.0,7.0,0.0,-6436.443,4.269,0.195
23357,6437.809,0.999,0.405,2.0,7.0,0.0,-6437.438,4.294,0.148
23358,6436.588,1.0,0.406,3.0,11.0,0.0,-6436.129,4.277,0.219
23359,6437.203,0.857,0.459,3.0,11.0,0.0,-6433.876,4.274,0.205
23360,6437.574,0.688,0.49,2.0,3.0,0.0,-6435.457,4.302,0.178
23361,6437.427,0.968,0.405,2.0,7.0,0.0,-6436.986,4.335,0.146
23362,6437.231,0.962,0.406,3.0,7.0,0.0,-6435.637,4.284,0.2
23363,6437.588,0.965,0.459,2.0,7.0,0.0,-6436.181,4.295,0.138
23364,6437.557,0.998,0.49,3.0,7.0,0.0,-6436.916,4.284,0.19
23365,6436.925,0.964,0.405,3.0,7.0,0.0,-6436.284,4.362,0.07
23366,6437.957,0.998,0.406,2.0,7.0,0.0,-6436.895,4.298,0.155
23367,6437.952,0.959,0.459,2.0,3.0,0.0,-6437.216,4.312,0.134
23368,6437.808,0.883,0.49,2.0,7.0,0.0,-6436.813,4.308,0.165
23369,6436.997,0.895,0.405,1.0,3.0,0.0,-6435.986,4.366,0.103
23370,6437.981,0.996,0.406,2.0,7.0,0.0,-6437.52,4.323,0.13
23371,6437.711,0.919,0.459,2.0,3.0,0.0,-6437.364,4.303,0.131
23372,6437.331,0.969,0.49,2.0,7.0,0.0,-6437.225,4.272,0.166
23373,6436.71,0.995,0.405,4.0,15.0,0.0,-6434.835,4.246,0.206
23374,6437.818,0.994,0.406,3.0,11.0,0.0,-6437.66,4.29,0.174
23375,6437.237,0.836,0.459,2.0,7.0,0.0,-6435.697,4.268,0.17
23376,6435.53,0.863,0.49,3.0,7.0,0.0,-6434.282,4.233,0.191
23377,6436.857,0.75,0.405,2.0,3.0,0.0,-6434.372,4.264,0.218
23378,6437.614,0.983,0.406,2.0,3.0,0.0,-6437.562,4.287,0.186
23379,6436.461,0.906,0.459,3.0,11.0,0.0,-6435.022,4.357,0.059
23380,6436.337,1.0,0.49,2.0,3.0,0.0,-6435.626,4.238,0.209
23381,6437.599,0.909,0.405,3.0,7.0,0.0,-6436.145,4.333,0.144
23382,6437.292,0.984,0.406,4.0,15.0,0.0,-6436.035,4.278,0.201
23383,6436.461,0.503,0.459,2.0,3.0,0.0,-6433.747,4.357,0.059
23384,6437.923,0.991,0.49,2.0,5.0,0.0,-6435.283,4.303,0.162
23385,6437.879,0.926,0.405,2.0,7.0,0.0,-6436.032,4.299,0.144
23386,6437.796,0.9,0.406,3.0,11.0,0.0,-6436.346,4.324,0.148
23387,6436.461,1.0,0.459,2.0,3.0,0.0,-6436.147,4.381,0.086
23388,6437.853,0.957,0.49,3.0,11.0,0.0,-6437.634,4.309,0.131
23389,6437.781,0.951,0.405,2.0,5.0,0.0,-6437.394,4.294,0.176
23390,6435.877,0.949,0.406,3.0,7.0,0.0,-6435.468,4.236,0.245
23391,6437.942,1.0,0.459,4.0,15.0,0.0,-6436.316,4.298,0.162
23392,6435.561,0.665,0.49,2.0,3.0,0.0,-6435.293,4.299,0.095
23393,6437.828,1.0,0.405,2.0,3.0,0.0,-6437.772,4.295,0.172
23394,6437.657,0.898,0.406,3.0,7.0,0.0,-6434.808,4.325,0.152
23395,6437.759,0.991,0.459,3.0,11.0,0.0,-6437.591,4.335,0.107
23396,6435.194,0.958,0.49,2.0,3.0,0.0,-6434.783,4.335,0.183
23397,6433.634,0.709,0.405,2.0,7.0,0.0,-6431.0,4.204,0.211
23398,6437.857,0.999,0.406,3.0,15.0,0.0,-6437.284,4.333,0.115
23399,6437.945,0.768,0.459,2.0,7.0,0.0,-6435.967,4.297,0.159
23400,6437.036,1.0,0.49,1.0,3.0,0.0,-6435.472,4.315,0.179
23401,6435.186,0.886,0.405,3.0,9.0,0.0,-6431.442,4.361,0.036
23402,6437.634,0.935,0.406,3.0,11.0,0.0,-6437.285,4.295,0.181
23403,6438.001,0.998,0.459,2.0,7.0,0.0,-6437.852,4.312,0.148
23404,6437.744,0.947,0.49,1.0,3.0,0.0,-6436.658,4.285,0.162
23405,6435.5,0.821,0.405,1.0,3.0,0.0,-6432.717,4.399,0.074
23406,6437.474,0.999,0.406,3.0,11.0,0.0,-6437.05,4.351,0.092
23407,6437.543,0.933,0.459,2.0,7.0,0.0,-6437.218,4.311,0.171
23408,6437.606,0.972,0.49,3.0,7.0,0.0,-6437.286,4.329,0.103
23409,6436.213,1.0,0.405,2.0,3.0,0.0,-6435.441,4.383,0.051
23410,6437.59,0.997,0.406,3.0,7.0,0.0,-6437.128,4.346,0.097
23411,6436.878,0.837,0.459,2.0,3.0,0.0,-6435.869,4.263,0.166
23412,6436.34,0.846,0.49,2.0,3.0,0.0,-6436.152,4.364,0.128
23413,6437.013,0.938,0.405,3.0,11.0,0.0,-6435.285,4.256,0.21
23414,6437.724,0.837,0.406,2.0,3.0,0.0,-6436.326,4.338,0.105
23415,6435.528,0.697,0.459,1.0,1.0,0.0,-6435.464,4.255,0.151
23416,6438.014,0.857,0.49,2.0,7.0,0.0,-6435.383,4.315,0.139
23417,6436.695,0.909,0.405,2.0,3.0,0.0,-6436.021,4.246,0.217
23418,6437.946,1.0,0.406,2.0,7.0,0.0,-6437.641,4.328,0.126
23419,6435.199,0.727,0.459,2.0,3.0,0.0,-6430.906,4.35,0.165
23420,6437.311,0.872,0.49,2.0,7.0,0.0,-6435.462,4.301,0.186
