draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,9757.601,0.84,0.664,3.0,7.0,0.0,-9755.649,4.604,-0.247
76,9759.447,0.975,0.731,2.0,3.0,0.0,-9759.422,4.583,-0.307
77,9759.454,1.0,0.691,2.0,3.0,0.0,-9759.291,4.618,-0.342
78,9759.702,1.0,0.753,1.0,1.0,0.0,-9759.665,4.606,-0.347
79,9757.995,0.994,0.664,2.0,7.0,0.0,-9756.572,4.562,-0.268
80,9759.741,0.952,0.731,2.0,7.0,0.0,-9758.41,4.606,-0.332
81,9759.312,0.926,0.691,2.0,7.0,0.0,-9758.823,4.606,-0.374
82,9759.65,0.878,0.753,2.0,3.0,0.0,-9758.763,4.592,-0.308
83,9759.574,0.979,0.664,2.0,5.0,0.0,-9757.543,4.592,-0.342
84,9759.406,0.947,0.731,1.0,3.0,0.0,-9758.92,4.613,-0.368
85,9757.855,0.791,0.691,1.0,3.0,0.0,-9756.079,4.641,-0.385
86,9759.67,0.989,0.753,2.0,3.0,0.0,-9759.57,4.6,-0.309
87,9759.467,0.964,0.664,2.0,3.0,0.0,-9759.152,4.595,-0.355
88,9754.738,0.61,0.731,2.0,3.0,0.0,-9754.141,4.655,-0.305
89,9758.876,1.0,0.691,2.0,7.0,0.0,-9757.522,4.572,-0.299
90,9759.706,0.989,0.753,2.0,3.0,0.0,-9759.565,4.599,-0.312
91,9758.965,0.966,0.664,2.0,7.0,0.0,-9758.847,4.625,-0.331
92,9759.324,1.0,0.731,2.0,3.0,0.0,-9754.865,4.58,-0.313
93,9759.712,0.981,0.691,3.0,7.0,0.0,-9758.604,4.602,-0.316
94,9757.737,0.777,0.753,2.0,3.0,0.0,-9756.954,4.63,-0.421
95,9758.813,0.977,0.664,1.0,1.0,0.0,-9758.726,4.627,-0.332
96,9759.181,0.994,0.731,3.0,7.0,0.0,-9758.941,4.621,-0.371
97,9759.102,0.736,0.691,2.0,3.0,0.0,-9757.417,4.59,-0.363
98,9753.512,0.733,0.753,2.0,3.0,0.0,-9752.798,4.64,-0.497
99,9759.496,0.991,0.664,2.0,3.0,0.0,-9758.715,4.615,-0.357
100,9758.765,0.897,0.731,2.0,7.0,0.0,-9757.678,4.573,-0.326
101,9759.446,0.998,0.691,2.0,7.0,0.0,-9758.764,4.587,-0.294
102,9757.492,1.0,0.753,2.0,3.0,0.0,-9753.357,4.646,-0.362
103,9758.635,0.902,0.664,2.0,7.0,0.0,-9758.297,4.586,-0.371
104,9759.262,0.893,0.731,2.0,3.0,0.0,-9757.358,4.598,-0.284
105,9759.483,0.974,0.691,2.0,7.0,0.0,-9758.974,4.613,-0.319
106,9758.297,1.0,0.753,2.0,3.0,0.0,-9757.438,4.634,-0.39
107,9758.988,0.96,0.664,2.0,3.0,0.0,-9757.854,4.595,-0.273
108,9759.262,0.747,0.731,1.0,3.0,0.0,-9757.278,4.598,-0.284
109,9759.045,0.89,0.691,2.0,7.0,0.0,-9757.55,4.611,-0.386
110,9758.637,0.991,0.753,2.0,3.0,0.0,-9757.898,4.623,-0.397
111,9759.441,1.0,0.664,2.0,3.0,0.0,-9758.887,4.601,-0.295
112,9759.365,0.953,0.731,2.0,3.0,0.0,-9758.724,4.602,-0.293
113,9757.977,0.967,0.691,2.0,3.0,0.0,-9757.847,4.64,-0.383
114,9759.621,0.991,0.753,2.0,7.0,0.0,-9758.512,4.596,-0.303
115,9759.287,0.97,0.664,1.0,1.0,0.0,-9759.263,4.602,-0.289
116,9758.821,0.755,0.731,1.0,3.0,0.0,-9757.398,4.578,-0.345
117,9759.135,0.991,0.691,2.0,3.0,0.0,-9757.866,4.624,-0.363
118,9759.736,0.999,0.753,2.0,3.0,0.0,-9759.582,4.6,-0.34
119,9759.13,0.995,0.664,2.0,7.0,0.0,-9758.814,4.591,-0.276
120,9759.592,0.941,0.731,1.0,3.0,0.0,-9757.579,4.61,-0.356
121,9759.605,1.0,0.691,2.0,7.0,0.0,-9759.123,4.588,-0.321
122,9759.48,0.715,0.753,2.0,3.0,0.0,-9757.234,4.587,-0.297
123,9759.063,0.945,0.664,2.0,7.0,0.0,-9758.401,4.597,-0.375
124,9759.398,0.971,0.731,2.0,3.0,0.0,-9759.285,4.603,-0.368
125,9759.698,0.974,0.691,3.0,7.0,0.0,-9759.339,4.595,-0.311
126,9759.698,0.876,0.753,2.0,3.0,0.0,-9758.522,4.593,-0.313
127,9759.155,0.99,0.664,2.0,7.0,0.0,-9758.349,4.615,-0.381
128,9758.898,0.937,0.731,2.0,7.0,0.0,-9758.206,4.583,-0.354
129,9759.668,0.992,0.691,2.0,7.0,0.0,-9759.576,4.597,-0.343
130,9759.516,0.822,0.753,2.0,3.0,0.0,-9758.252,4.614,-0.358
131,9759.369,0.952,0.664,3.0,7.0,0.0,-9757.764,4.584,-0.333
132,9758.848,0.867,0.731,2.0,3.0,0.0,-9756.922,4.591,-0.266
133,9759.596,0.977,0.691,1.0,3.0,0.0,-9759.189,4.611,-0.355
134,9759.067,0.939,0.753,3.0,7.0,0.0,-9758.669,4.597,-0.277
135,9759.587,0.935,0.664,2.0,7.0,0.0,-9758.868,4.598,-0.301
136,9757.036,0.942,0.731,2.0,7.0,0.0,-9756.747,4.628,-0.439
137,9759.056,0.951,0.691,1.0,3.0,0.0,-9758.77,4.622,-0.378
