draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,9570.977,0.808,0.735,2.0,3.0,0.0,-9569.91,4.169,-0.273
76,9571.302,0.961,0.726,1.0,3.0,0.0,-9570.126,4.177,-0.259
77,9570.336,0.934,0.569,2.0,7.0,0.0,-9570.115,4.201,-0.254
78,9570.572,0.937,0.614,2.0,7.0,0.0,-9569.328,4.183,-0.302
79,9571.279,0.998,0.735,1.0,3.0,0.0,-9570.979,4.182,-0.266
80,9570.642,0.827,0.726,2.0,3.0,0.0,-9570.376,4.158,-0.26
81,9570.441,1.0,0.569,2.0,7.0,0.0,-9570.22,4.155,-0.261
82,9570.584,1.0,0.614,3.0,7.0,0.0,-9570.373,4.168,-0.214
83,9570.196,0.925,0.735,2.0,3.0,0.0,-9570.147,4.151,-0.205
84,9570.909,1.0,0.726,1.0,1.0,0.0,-9570.651,4.162,-0.26
85,9570.563,0.949,0.569,1.0,3.0,0.0,-9568.948,4.154,-0.218
86,9569.382,0.896,0.614,2.0,7.0,0.0,-9568.561,4.203,-0.334
87,9569.65,0.904,0.735,1.0,1.0,0.0,-9569.64,4.151,-0.19
88,9568.842,0.519,0.726,2.0,5.0,0.0,-9566.387,4.176,-0.328
89,9570.579,0.993,0.569,3.0,7.0,0.0,-9570.06,4.156,-0.215
90,9570.988,0.955,0.614,2.0,7.0,0.0,-9568.967,4.179,-0.236
91,9569.072,0.95,0.735,1.0,1.0,0.0,-9568.987,4.144,-0.179
92,9571.064,1.0,0.726,2.0,3.0,0.0,-9569.059,4.183,-0.244
93,9570.677,0.992,0.569,2.0,3.0,0.0,-9570.415,4.162,-0.216
94,9569.692,0.727,0.614,2.0,7.0,0.0,-9567.749,4.14,-0.235
95,9569.321,0.996,0.735,2.0,3.0,0.0,-9568.763,4.134,-0.207
96,9569.144,0.907,0.726,2.0,3.0,0.0,-9568.942,4.133,-0.2
97,9571.012,0.993,0.569,2.0,7.0,0.0,-9570.247,4.189,-0.288
98,9569.963,0.776,0.614,2.0,3.0,0.0,-9567.066,4.156,-0.278
99,9571.243,0.989,0.735,2.0,3.0,0.0,-9569.02,4.172,-0.246
100,9569.725,0.783,0.726,2.0,3.0,0.0,-9567.45,4.169,-0.196
101,9570.286,0.919,0.569,2.0,7.0,0.0,-9569.22,4.175,-0.212
102,9571.122,0.997,0.614,2.0,5.0,0.0,-9569.959,4.191,-0.271
103,9570.622,0.849,0.735,2.0,7.0,0.0,-9569.559,4.181,-0.298
104,9567.73,0.567,0.726,1.0,1.0,0.0,-9567.655,4.177,-0.175
105,9570.576,0.828,0.569,1.0,3.0,0.0,-9568.396,4.155,-0.256
106,9569.635,0.645,0.614,2.0,3.0,0.0,-9568.475,4.188,-0.214
107,9570.501,0.942,0.735,2.0,5.0,0.0,-9569.174,4.159,-0.269
108,9571.249,0.776,0.726,2.0,3.0,0.0,-9566.347,4.185,-0.266
109,9570.153,0.994,0.569,3.0,7.0,0.0,-9569.577,4.166,-0.203
110,9569.578,1.0,0.614,2.0,3.0,0.0,-9569.193,4.169,-0.308
111,9571.112,0.966,0.735,2.0,3.0,0.0,-9570.449,4.18,-0.242
112,9571.067,0.952,0.726,2.0,7.0,0.0,-9570.374,4.175,-0.235
113,9571.024,0.941,0.569,3.0,7.0,0.0,-9569.546,4.162,-0.25
114,9571.273,0.989,0.614,2.0,3.0,0.0,-9569.344,4.172,-0.254
115,9571.167,0.969,0.735,2.0,3.0,0.0,-9570.945,4.167,-0.244
116,9571.05,0.887,0.726,2.0,5.0,0.0,-9570.339,4.19,-0.258
117,9571.025,1.0,0.569,2.0,7.0,0.0,-9570.926,4.17,-0.23
118,9571.212,0.996,0.614,2.0,7.0,0.0,-9571.154,4.17,-0.244
119,9569.074,0.714,0.735,2.0,3.0,0.0,-9568.653,4.15,-0.178
120,9571.121,0.999,0.726,3.0,7.0,0.0,-9570.991,4.174,-0.237
121,9571.009,0.972,0.569,2.0,3.0,0.0,-9570.74,4.178,-0.235
122,9571.262,0.991,0.614,2.0,7.0,0.0,-9571.033,4.179,-0.251
123,9570.101,0.96,0.735,2.0,7.0,0.0,-9568.551,4.155,-0.272
124,9570.948,0.952,0.726,1.0,1.0,0.0,-9570.936,4.177,-0.231
125,9568.361,0.731,0.569,2.0,7.0,0.0,-9567.679,4.169,-0.327
126,9569.236,0.697,0.614,3.0,7.0,0.0,-9567.754,4.172,-0.317
127,9570.126,0.995,0.735,2.0,3.0,0.0,-9569.913,4.196,-0.237
128,9569.7,0.862,0.726,2.0,3.0,0.0,-9568.888,4.139,-0.208
129,9567.388,0.833,0.569,1.0,1.0,0.0,-9567.114,4.166,-0.334
130,9569.688,0.991,0.614,2.0,7.0,0.0,-9568.479,4.216,-0.311
131,9570.337,0.992,0.735,2.0,5.0,0.0,-9569.666,4.191,-0.312
132,9570.785,0.986,0.726,2.0,3.0,0.0,-9569.615,4.156,-0.229
133,9565.745,0.713,0.569,1.0,1.0,0.0,-9565.339,4.156,-0.339
134,9571.102,0.894,0.614,2.0,3.0,0.0,-9568.642,4.166,-0.257
135,9571.203,0.938,0.735,2.0,3.0,0.0,-9569.797,4.187,-0.271
136,9570.843,0.835,0.726,2.0,7.0,0.0,-9566.193,4.199,-0.278
137,9570.823,0.958,0.569,2.0,3.0,0.0,-9565.273,4.172,-0.282
138,9571.107,0.98,0.614,3.0,7.0,0.0,-9569.901,4.177,-0.278
139,9571.088,0.98,0.735,2.0,3.0,0.0,-9571.026,4.184,-0.284
140,9570.864,1.0,0.726,2.0,3.0,0.0,-9570.713,4.189,-0.295
141,9568.0,0.924,0.569,3.0,7.0,0.0,-9567.258,4.132,-0.165
142,9567.696,0.781,0.614,2.0,3.0,0.0,-9566.976,4.232,-0.343
143,9570.948,0.888,0.735,2.0,3.0,0.0,-9570.46,4.187,-0.291
