draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,4339.891,1.0,0.756,1.0,1.0,0.0,-4339.19,3.519,-0.003
76,4339.992,0.905,0.653,2.0,3.0,0.0,-4338.368,3.505,-0.037
77,4339.759,1.0,0.606,2.0,3.0,0.0,-4339.302,3.522,-0.071
78,4337.93,0.928,0.579,2.0,3.0,0.0,-4337.394,3.455,0.051
79,4340.055,0.88,0.756,2.0,3.0,0.0,-4339.253,3.533,-0.046
80,4340.121,0.958,0.653,3.0,7.0,0.0,-4339.476,3.519,-0.046
81,4339.934,1.0,0.606,2.0,3.0,0.0,-4339.69,3.538,-0.06
82,4339.336,1.0,0.579,2.0,3.0,0.0,-4338.004,3.482,0.025
83,4338.947,0.904,0.756,2.0,3.0,0.0,-4338.875,3.548,-0.11
84,4339.164,0.801,0.653,1.0,3.0,0.0,-4339.097,3.503,-0.069
85,4340.061,0.943,0.606,2.0,7.0,0.0,-4338.646,3.508,-0.036
86,4340.118,0.93,0.579,3.0,7.0,0.0,-4338.882,3.512,-0.015
87,4340.094,1.0,0.756,2.0,3.0,0.0,-4338.966,3.527,-0.03
88,4339.732,0.886,0.653,1.0,3.0,0.0,-4338.234,3.538,-0.026
89,4339.886,0.946,0.606,2.0,3.0,0.0,-4339.576,3.501,-0.036
90,4340.143,0.997,0.579,2.0,7.0,0.0,-4339.984,3.525,-0.043
91,4339.599,0.915,0.756,2.0,3.0,0.0,-4339.579,3.533,-0.01
92,4338.633,0.924,0.653,2.0,3.0,0.0,-4338.373,3.476,-0.033
93,4339.218,0.938,0.606,2.0,7.0,0.0,-4339.023,3.549,-0.027
94,4340.163,1.0,0.579,3.0,7.0,0.0,-4340.136,3.522,-0.039
95,4339.475,0.985,0.756,2.0,3.0,0.0,-4339.283,3.533,-0.005
96,4338.585,0.975,0.653,2.0,3.0,0.0,-4338.132,3.55,-0.009
97,4339.232,1.0,0.606,2.0,7.0,0.0,-4339.082,3.487,-0.038
98,4339.659,0.976,0.579,2.0,7.0,0.0,-4339.572,3.49,0.012
99,4339.392,0.959,0.756,2.0,7.0,0.0,-4338.617,3.48,0.009
100,4338.673,0.981,0.653,2.0,5.0,0.0,-4336.761,3.465,0.028
101,4339.434,0.941,0.606,1.0,3.0,0.0,-4337.79,3.486,0.024
102,4339.297,0.967,0.579,2.0,5.0,0.0,-4338.468,3.555,-0.088
103,4340.04,0.865,0.756,2.0,7.0,0.0,-4338.546,3.516,-0.051
104,4337.899,0.933,0.653,2.0,3.0,0.0,-4337.334,3.455,0.054
105,4339.493,0.993,0.606,3.0,7.0,0.0,-4338.933,3.484,0.017
106,4339.609,0.85,0.579,3.0,7.0,0.0,-4338.183,3.526,0.0
107,4339.859,0.981,0.756,2.0,3.0,0.0,-4339.802,3.522,-0.005
108,4338.735,0.997,0.653,2.0,3.0,0.0,-4337.611,3.487,0.052
109,4339.576,0.99,0.606,2.0,3.0,0.0,-4339.32,3.497,0.022
110,4339.652,0.984,0.579,3.0,7.0,0.0,-4338.444,3.488,0.009
111,4339.935,1.0,0.756,2.0,3.0,0.0,-4339.862,3.501,-0.031
112,4339.656,1.0,0.653,2.0,7.0,0.0,-4338.54,3.528,-0.08
113,4339.74,0.995,0.606,2.0,7.0,0.0,-4339.133,3.534,-0.078
114,4339.914,0.967,0.579,2.0,3.0,0.0,-4339.316,3.499,0.001
115,4339.649,0.883,0.756,2.0,7.0,0.0,-4338.599,3.543,-0.033
116,4339.862,0.991,0.653,3.0,7.0,0.0,-4338.877,3.541,-0.065
117,4338.967,0.906,0.606,2.0,7.0,0.0,-4337.888,3.516,0.03
118,4339.309,0.877,0.579,2.0,3.0,0.0,-4339.134,3.512,0.024
119,4339.111,0.829,0.756,1.0,1.0,0.0,-4339.013,3.55,-0.025
120,4339.704,0.97,0.653,3.0,7.0,0.0,-4338.701,3.546,-0.07
121,4339.317,0.837,0.606,2.0,3.0,0.0,-4337.134,3.517,0.02
122,4339.993,0.974,0.579,3.0,7.0,0.0,-4338.798,3.508,-0.042
123,4340.08,0.861,0.756,2.0,3.0,0.0,-4338.736,3.508,-0.032
124,4339.918,0.845,0.653,2.0,3.0,0.0,-4338.616,3.523,-0.064
125,4339.036,0.936,0.606,2.0,7.0,0.0,-4338.364,3.527,-0.1
126,4339.951,0.764,0.579,2.0,3.0,0.0,-4337.794,3.501,-0.001
127,4339.948,0.981,0.756,2.0,3.0,0.0,-4339.906,3.526,-0.016
128,4339.641,0.973,0.653,1.0,3.0,0.0,-4339.161,3.545,-0.08
129,4338.609,0.942,0.606,3.0,7.0,0.0,-4337.744,3.559,-0.03
130,4340.102,0.996,0.579,1.0,3.0,0.0,-4339.843,3.507,-0.017
131,4339.428,0.956,0.756,2.0,3.0,0.0,-4339.082,3.483,0.02
132,4339.702,0.587,0.653,2.0,3.0,0.0,-4335.982,3.528,-0.078
