draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,11327.369,0.877,0.728,2.0,3.0,0.0,-11326.478,4.591,-1.099
76,11327.367,0.852,0.656,2.0,3.0,0.0,-11323.888,4.619,-1.086
77,11327.206,0.997,0.646,2.0,3.0,0.0,-11326.75,4.582,-1.045
78,11327.381,0.991,0.673,2.0,3.0,0.0,-11327.342,4.592,-1.048
79,11327.809,1.0,0.728,1.0,3.0,0.0,-11327.386,4.603,-1.093
80,11326.549,0.944,0.656,2.0,7.0,0.0,-11325.833,4.569,-1.062
81,11327.569,0.954,0.646,3.0,7.0,0.0,-11326.588,4.591,-1.089
82,11327.716,0.658,0.673,2.0,3.0,0.0,-11324.582,4.605,-1.102
83,11326.756,0.94,0.728,2.0,7.0,0.0,-11326.699,4.578,-1.032
84,11325.178,0.717,0.656,1.0,1.0,0.0,-11325.139,4.56,-1.075
85,11325.481,0.71,0.646,2.0,3.0,0.0,-11324.359,4.6,-1.149
86,11327.758,1.0,0.673,2.0,3.0,0.0,-11327.695,4.61,-1.094
87,11327.001,0.961,0.728,2.0,3.0,0.0,-11326.288,4.585,-1.036
88,11325.083,0.993,0.656,2.0,7.0,0.0,-11324.22,4.58,-0.998
89,11324.384,0.799,0.646,1.0,1.0,0.0,-11324.192,4.594,-1.157
90,11327.749,0.99,0.673,2.0,5.0,0.0,-11327.529,4.594,-1.068
91,11326.583,0.993,0.728,2.0,3.0,0.0,-11326.502,4.577,-1.027
92,11327.597,0.94,0.656,2.0,3.0,0.0,-11324.492,4.598,-1.059
93,11322.785,0.707,0.646,1.0,1.0,0.0,-11322.325,4.584,-1.16
94,11327.687,0.975,0.673,2.0,5.0,0.0,-11327.507,4.611,-1.102
95,11327.581,0.982,0.728,2.0,3.0,0.0,-11326.219,4.586,-1.068
96,11327.737,0.994,0.656,2.0,3.0,0.0,-11327.568,4.592,-1.07
97,11327.509,0.96,0.646,2.0,3.0,0.0,-11322.291,4.593,-1.096
98,11327.738,0.997,0.673,3.0,7.0,0.0,-11327.556,4.61,-1.097
99,11327.546,0.988,0.728,3.0,7.0,0.0,-11327.211,4.591,-1.055
100,11327.28,0.931,0.656,2.0,3.0,0.0,-11326.917,4.583,-1.048
101,11324.699,0.861,0.646,2.0,3.0,0.0,-11323.786,4.573,-0.992
102,11325.546,0.848,0.673,2.0,3.0,0.0,-11325.196,4.64,-1.153
103,11327.55,0.965,0.728,2.0,3.0,0.0,-11327.372,4.586,-1.072
104,11327.511,0.995,0.656,2.0,3.0,0.0,-11327.185,4.585,-1.067
105,11327.469,0.997,0.646,2.0,7.0,0.0,-11324.394,4.588,-1.087
106,11326.133,1.0,0.673,1.0,1.0,0.0,-11325.579,4.636,-1.14
107,11327.538,0.992,0.728,2.0,3.0,0.0,-11327.3,4.595,-1.055
108,11327.701,0.942,0.656,2.0,7.0,0.0,-11327.085,4.612,-1.088
109,11327.812,1.0,0.646,2.0,3.0,0.0,-11327.514,4.604,-1.079
110,11327.423,0.98,0.673,1.0,3.0,0.0,-11325.552,4.618,-1.114
111,11326.144,0.731,0.728,2.0,3.0,0.0,-11324.997,4.564,-1.057
112,11327.702,0.965,0.656,1.0,3.0,0.0,-11327.404,4.599,-1.097
113,11327.297,0.964,0.646,3.0,7.0,0.0,-11327.19,4.607,-1.12
114,11327.569,0.972,0.673,2.0,3.0,0.0,-11327.248,4.616,-1.089
115,11327.42,0.999,0.728,2.0,3.0,0.0,-11326.131,4.585,-1.053
116,11327.361,0.919,0.656,1.0,1.0,0.0,-11327.36,4.595,-1.105
117,11327.161,0.981,0.646,2.0,7.0,0.0,-11326.757,4.597,-1.044
118,11327.836,0.992,0.673,2.0,3.0,0.0,-11327.505,4.604,-1.084
119,11324.762,0.65,0.728,2.0,3.0,0.0,-11323.843,4.562,-1.092
120,11327.744,0.998,0.656,3.0,7.0,0.0,-11327.282,4.599,-1.094
121,11327.495,0.999,0.646,2.0,7.0,0.0,-11327.111,4.598,-1.105
122,11326.212,0.761,0.673,2.0,3.0,0.0,-11325.155,4.634,-1.141
123,11325.826,1.0,0.728,2.0,3.0,0.0,-11324.725,4.596,-1.018
124,11326.567,0.926,0.656,2.0,7.0,0.0,-11325.981,4.57,-1.036
125,11327.582,0.983,0.646,3.0,7.0,0.0,-11326.516,4.616,-1.102
126,11324.143,0.708,0.673,2.0,5.0,0.0,-11321.615,4.549,-1.002
127,11326.793,0.804,0.728,3.0,7.0,0.0,-11323.699,4.612,-1.052
128,11327.344,0.986,0.656,2.0,3.0,0.0,-11326.098,4.586,-1.048
129,11324.592,0.739,0.646,2.0,7.0,0.0,-11323.317,4.559,-1.088
130,11327.461,0.996,0.673,2.0,7.0,0.0,-11324.174,4.592,-1.051
131,11325.415,0.914,0.728,2.0,3.0,0.0,-11325.106,4.602,-1.152
132,11327.367,0.998,0.656,3.0,7.0,0.0,-11327.278,4.59,-1.047
133,11326.512,0.997,0.646,2.0,7.0,0.0,-11324.762,4.597,-1.03
134,11327.784,0.986,0.673,2.0,7.0,0.0,-11327.227,4.594,-1.078
135,11325.668,1.0,0.728,2.0,7.0,0.0,-11325.193,4.605,-1.024
136,11327.367,0.412,0.656,1.0,3.0,0.0,-11323.448,4.59,-1.047
137,11327.423,0.956,0.646,2.0,3.0,0.0,-11326.082,4.595,-1.051
138,11327.454,0.958,0.673,1.0,3.0,0.0,-11327.071,4.587,-1.053
139,11327.434,0.916,0.728,2.0,3.0,0.0,-11325.386,4.583,-1.064
140,11327.403,0.972,0.656,2.0,7.0,0.0,-11326.597,4.605,-1.115
141,11327.584,0.996,0.646,2.0,7.0,0.0,-11327.32,4.595,-1.097
142,11327.161,0.931,0.673,2.0,3.0,0.0,-11326.977,4.578,-1.069
143,11327.458,0.958,0.728,3.0,7.0,0.0,-11326.351,4.586,-1.083
144,11326.611,0.986,0.656,3.0,7.0,0.0,-11326.477,4.581,-1.026
145,11327.226,0.927,0.646,3.0,7.0,0.0,-11324.38,4.608,-1.123
146,11327.552,1.0,0.673,2.0,3.0,0.0,-11327.172,4.586,-1.074
147,11327.317,0.998,0.728,2.0,3.0,0.0,-11327.244,4.595,-1.047
148,11327.159,0.876,0.656,2.0,5.0,0.0,-11325.345,4.614,-1.126
149,11327.03,0.96,0.646,1.0,1.0,0.0,-11326.987,4.606,-1.127
150,11327.564,0.919,0.673,2.0,3.0,0.0,-11327.159,4.6,-1.059
151,11327.327,0.998,0.728,2.0,7.0,0.0,-11327.178,4.582,-1.075
152,11326.708,0.733,0.656,1.0,3.0,0.0,-11324.886,4.622,-1.07
153,11327.573,0.996,0.646,3.0,7.0,0.0,-11326.488,4.597,-1.057
154,11327.285,0.872,0.673,2.0,3.0,0.0,-11326.538,4.598,-1.048
155,11327.45,0.973,0.728,2.0,3.0,0.0,-11327.05,4.613,-1.073
156,11327.555,1.0,0.656,1.0,1.0,0.0,-11326.924,4.613,-1.081
157,11327.606,1.0,0.646,3.0,7.0,0.0,-11327.526,4.606,-1.108
158,11326.994,0.823,0.673,3.0,7.0,0.0,-11325.764,4.622,-1.078
159,11327.274,0.946,0.728,2.0,5.0,0.0,-11326.505,4.584,-1.046
160,11326.337,0.884,0.656,2.0,3.0,0.0,-11326.265,4.582,-1.108
161,11327.483,0.98,0.646,2.0,5.0,0.0,-11326.751,4.584,-1.06
162,11327.052,0.984,0.673,2.0,5.0,0.0,-11326.359,4.612,-1.059
163,11327.082,0.873,0.728,2.0,5.0,0.0,-11326.218,4.593,-1.11
164,11326.418,1.0,0.656,2.0,3.0,0.0,-11326.018,4.583,-1.11
165,11327.674,0.967,0.646,2.0,7.0,0.0,-11326.95,4.6,-1.064
166,11327.587,0.906,0.673,2.0,7.0,0.0,-11326.231,4.602,-1.106
167,11327.598,0.988,0.728,1.0,3.0,0.0,-11326.808,4.589,-1.082
168,11327.526,0.995,0.656,1.0,3.0,0.0,-11326.61,4.589,-1.087
169,11326.731,0.86,0.646,3.0,7.0,0.0,-11325.959,4.631,-1.121
