draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,9857.237,0.958,0.682,3.0,7.0,0.0,-9856.487,4.612,-0.352
76,9855.83,0.935,0.615,2.0,7.0,0.0,-9855.823,4.567,-0.192
77,9858.122,0.968,0.692,1.0,3.0,0.0,-9856.712,4.607,-0.301
78,9857.983,0.95,0.77,2.0,5.0,0.0,-9857.411,4.587,-0.281
79,9857.724,0.903,0.682,2.0,3.0,0.0,-9856.062,4.62,-0.317
80,9855.573,0.973,0.615,1.0,1.0,0.0,-9855.487,4.567,-0.186
81,9858.007,0.95,0.692,2.0,7.0,0.0,-9857.39,4.589,-0.289
82,9858.046,1.0,0.77,2.0,3.0,0.0,-9857.973,4.589,-0.284
83,9856.704,0.935,0.682,2.0,3.0,0.0,-9856.663,4.618,-0.368
84,9855.603,1.0,0.615,1.0,1.0,0.0,-9855.398,4.567,-0.187
85,9857.694,0.951,0.692,2.0,7.0,0.0,-9857.26,4.601,-0.329
86,9857.249,0.817,0.77,2.0,3.0,0.0,-9856.026,4.625,-0.283
87,9856.796,1.0,0.682,1.0,1.0,0.0,-9856.609,4.62,-0.365
88,9855.658,1.0,0.615,2.0,3.0,0.0,-9855.325,4.559,-0.198
89,9857.708,0.996,0.692,3.0,7.0,0.0,-9857.451,4.583,-0.293
90,9855.083,0.917,0.77,2.0,7.0,0.0,-9854.917,4.619,-0.403
91,9858.016,0.923,0.682,2.0,7.0,0.0,-9856.052,4.593,-0.261
92,9856.507,0.821,0.615,2.0,7.0,0.0,-9852.031,4.599,-0.213
93,9857.66,0.993,0.692,2.0,3.0,0.0,-9857.534,4.613,-0.268
94,9857.43,1.0,0.77,2.0,7.0,0.0,-9855.279,4.623,-0.288
95,9857.632,0.954,0.682,2.0,3.0,0.0,-9857.493,4.593,-0.24
96,9856.96,1.0,0.615,3.0,7.0,0.0,-9855.822,4.572,-0.295
97,9858.011,0.977,0.692,2.0,7.0,0.0,-9857.092,4.61,-0.312
98,9857.72,1.0,0.77,2.0,3.0,0.0,-9857.199,4.613,-0.331
99,9857.309,0.996,0.682,2.0,3.0,0.0,-9857.142,4.584,-0.227
100,9856.425,0.975,0.615,2.0,3.0,0.0,-9856.348,4.566,-0.295
