draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
75,15224.301,0.966,0.483,2.0,3.0,0.0,-15223.397,4.594,-0.426
76,15224.405,0.992,0.552,2.0,7.0,0.0,-15223.556,4.599,-0.425
77,15223.149,0.76,0.535,2.0,3.0,0.0,-15220.081,4.571,-0.376
78,15221.896,0.749,0.615,2.0,3.0,0.0,-15219.77,4.635,-0.425
79,15223.861,0.941,0.483,3.0,7.0,0.0,-15221.024,4.578,-0.401
80,15224.355,0.935,0.552,2.0,3.0,0.0,-15223.997,4.605,-0.433
81,15224.397,0.998,0.535,2.0,7.0,0.0,-15222.905,4.603,-0.429
82,15223.806,1.0,0.615,2.0,3.0,0.0,-15222.128,4.622,-0.449
83,15223.998,1.0,0.483,2.0,3.0,0.0,-15223.823,4.583,-0.396
84,15223.89,0.966,0.552,2.0,5.0,0.0,-15223.687,4.58,-0.394
85,15224.034,0.951,0.535,2.0,7.0,0.0,-15223.331,4.617,-0.436
86,15224.236,0.993,0.615,2.0,7.0,0.0,-15223.504,4.587,-0.411
87,15224.186,0.918,0.483,2.0,7.0,0.0,-15221.819,4.592,-0.427
88,15224.227,0.948,0.552,2.0,3.0,0.0,-15223.592,4.589,-0.42
89,15223.309,0.886,0.535,2.0,5.0,0.0,-15222.946,4.59,-0.444
90,15223.311,0.831,0.615,2.0,5.0,0.0,-15222.605,4.621,-0.42
91,15224.084,0.995,0.483,2.0,7.0,0.0,-15223.332,4.584,-0.412
92,15223.516,0.895,0.552,3.0,7.0,0.0,-15222.485,4.575,-0.41
93,15224.242,0.994,0.535,1.0,3.0,0.0,-15223.414,4.6,-0.436
94,15222.212,0.888,0.615,3.0,7.0,0.0,-15221.265,4.595,-0.372
95,15222.268,0.707,0.483,2.0,3.0,0.0,-15219.952,4.591,-0.369
96,15223.355,0.919,0.552,3.0,7.0,0.0,-15222.779,4.601,-0.392
97,15221.416,0.806,0.535,3.0,7.0,0.0,-15220.5,4.549,-0.37
98,15224.425,0.954,0.615,2.0,7.0,0.0,-15221.773,4.598,-0.421
99,15223.821,0.999,0.483,2.0,7.0,0.0,-15222.027,4.585,-0.426
100,15224.148,0.989,0.552,2.0,7.0,0.0,-15222.96,4.606,-0.443
101,15222.987,0.897,0.535,2.0,3.0,0.0,-15220.171,4.573,-0.371
102,15223.611,0.915,0.615,2.0,7.0,0.0,-15223.212,4.574,-0.4
103,15224.392,0.79,0.483,2.0,3.0,0.0,-15221.775,4.597,-0.414
104,15224.042,0.997,0.552,2.0,3.0,0.0,-15223.993,4.609,-0.448
105,15221.637,0.902,0.535,2.0,3.0,0.0,-15220.799,4.552,-0.363
106,15224.15,0.999,0.615,2.0,7.0,0.0,-15223.521,4.611,-0.421
107,15224.226,0.972,0.483,2.0,3.0,0.0,-15224.162,4.603,-0.411
108,15224.23,0.987,0.552,3.0,7.0,0.0,-15223.935,4.588,-0.417
109,15221.735,1.0,0.535,1.0,1.0,0.0,-15221.557,4.553,-0.364
110,15222.507,0.922,0.615,3.0,7.0,0.0,-15221.898,4.639,-0.468
111,15223.739,0.964,0.483,2.0,3.0,0.0,-15223.595,4.578,-0.41
112,15223.749,0.991,0.552,2.0,7.0,0.0,-15223.596,4.623,-0.446
113,15224.014,0.988,0.535,3.0,7.0,0.0,-15221.495,4.611,-0.417
114,15220.444,0.856,0.615,2.0,3.0,0.0,-15220.248,4.63,-0.505
115,15223.841,0.994,0.483,2.0,7.0,0.0,-15223.291,4.617,-0.424
116,15224.048,0.968,0.552,3.0,7.0,0.0,-15223.43,4.59,-0.429
117,15223.619,0.92,0.535,3.0,7.0,0.0,-15222.786,4.625,-0.454
118,15223.897,1.0,0.615,3.0,7.0,0.0,-15219.107,4.587,-0.427
119,15223.34,0.981,0.483,2.0,7.0,0.0,-15222.941,4.626,-0.432
120,15224.244,0.964,0.552,2.0,7.0,0.0,-15223.606,4.594,-0.404
121,15223.928,0.968,0.535,2.0,7.0,0.0,-15222.466,4.579,-0.399
122,15221.087,0.948,0.615,2.0,7.0,0.0,-15221.011,4.565,-0.345
123,15223.649,1.0,0.483,3.0,7.0,0.0,-15222.506,4.603,-0.399
124,15223.033,0.786,0.552,2.0,3.0,0.0,-15222.842,4.609,-0.396
125,15224.259,0.993,0.535,4.0,15.0,0.0,-15223.754,4.599,-0.408
126,15224.377,0.973,0.615,2.0,7.0,0.0,-15218.822,4.606,-0.431
127,15223.359,0.981,0.483,2.0,7.0,0.0,-15221.115,4.624,-0.465
128,15223.461,0.935,0.552,2.0,3.0,0.0,-15222.389,4.603,-0.455
129,15224.179,0.99,0.535,2.0,7.0,0.0,-15223.967,4.589,-0.401
130,15223.613,0.964,0.615,2.0,3.0,0.0,-15223.457,4.624,-0.456
131,15223.888,0.999,0.483,3.0,7.0,0.0,-15223.224,4.621,-0.444
132,15223.074,1.0,0.552,2.0,3.0,0.0,-15222.861,4.632,-0.442
133,15224.217,1.0,0.535,3.0,7.0,0.0,-15224.103,4.586,-0.409
134,15224.373,0.948,0.615,2.0,5.0,0.0,-15221.642,4.606,-0.426
135,15224.179,0.704,0.483,3.0,7.0,0.0,-15221.565,4.614,-0.435
136,15223.561,0.993,0.552,2.0,7.0,0.0,-15222.528,4.575,-0.407
137,15223.587,0.929,0.535,3.0,7.0,0.0,-15222.31,4.624,-0.435
138,15224.244,0.947,0.615,2.0,3.0,0.0,-15223.984,4.605,-0.439
139,15224.073,0.894,0.483,2.0,3.0,0.0,-15223.274,4.595,-0.435
140,15223.384,1.0,0.552,2.0,3.0,0.0,-15223.189,4.58,-0.379
141,15224.106,0.997,0.535,2.0,7.0,0.0,-15223.489,4.599,-0.439
142,15224.413,0.888,0.615,2.0,3.0,0.0,-15223.539,4.603,-0.424
143,15224.265,1.0,0.483,2.0,7.0,0.0,-15223.734,4.591,-0.405
144,15220.632,0.797,0.552,2.0,3.0,0.0,-15219.976,4.552,-0.342
145,15223.944,0.941,0.535,2.0,7.0,0.0,-15223.091,4.584,-0.42
146,15223.732,0.975,0.615,2.0,7.0,0.0,-15223.708,4.621,-0.456
147,15223.807,0.922,0.483,2.0,5.0,0.0,-15223.553,4.589,-0.433
148,15221.416,0.884,0.552,2.0,3.0,0.0,-15219.514,4.561,-0.349
149,15224.068,0.992,0.535,2.0,7.0,0.0,-15223.508,4.612,-0.421
150,15223.807,0.862,0.615,2.0,3.0,0.0,-15222.583,4.622,-0.449
151,15222.653,0.771,0.483,2.0,5.0,0.0,-15221.305,4.597,-0.46
152,15220.228,0.725,0.552,1.0,1.0,0.0,-15220.139,4.567,-0.337
153,15223.015,0.955,0.535,2.0,7.0,0.0,-15220.983,4.566,-0.382
154,15222.316,0.867,0.615,2.0,7.0,0.0,-15220.827,4.56,-0.366
155,15223.231,0.993,0.483,2.0,7.0,0.0,-15222.34,4.603,-0.392
156,15223.118,1.0,0.552,2.0,7.0,0.0,-15219.906,4.601,-0.459
157,15222.809,0.977,0.535,2.0,3.0,0.0,-15222.567,4.574,-0.368
158,15222.209,0.957,0.615,2.0,3.0,0.0,-15220.919,4.561,-0.363
159,15224.097,0.998,0.483,3.0,7.0,0.0,-15222.896,4.586,-0.398
160,15222.505,0.971,0.552,2.0,5.0,0.0,-15220.112,4.577,-0.364
161,15224.267,0.942,0.535,3.0,15.0,0.0,-15221.959,4.601,-0.435
162,15223.471,0.972,0.615,2.0,5.0,0.0,-15220.681,4.625,-0.461
163,15223.466,0.948,0.483,2.0,3.0,0.0,-15223.458,4.573,-0.405
164,15223.949,0.997,0.552,2.0,7.0,0.0,-15222.0,4.585,-0.393
165,15224.382,0.998,0.535,2.0,7.0,0.0,-15224.079,4.594,-0.413
166,15223.977,0.983,0.615,1.0,3.0,0.0,-15223.137,4.619,-0.443
167,15222.095,0.8,0.483,3.0,7.0,0.0,-15220.9,4.605,-0.38
168,15221.836,0.766,0.552,2.0,3.0,0.0,-15221.469,4.556,-0.396
169,15224.354,0.994,0.535,3.0,11.0,0.0,-15224.325,4.601,-0.432
170,15224.29,0.98,0.615,2.0,7.0,0.0,-15223.71,4.591,-0.419
171,15224.232,1.0,0.483,3.0,7.0,0.0,-15221.637,4.606,-0.44
172,15222.547,0.959,0.552,2.0,7.0,0.0,-15220.813,4.613,-0.395
173,15223.278,0.847,0.535,2.0,3.0,0.0,-15222.798,4.583,-0.434
174,15224.29,0.091,0.615,1.0,3.0,0.0,-15215.364,4.591,-0.419
175,15224.423,0.977,0.483,3.0,7.0,0.0,-15224.063,4.6,-0.425
176,15223.0,0.782,0.552,2.0,3.0,0.0,-15219.843,4.589,-0.447
177,15223.936,1.0,0.535,2.0,3.0,0.0,-15223.402,4.589,-0.429
178,15223.536,0.848,0.615,1.0,3.0,0.0,-15223.484,4.585,-0.432
179,15222.222,0.776,0.483,2.0,3.0,0.0,-15221.858,4.573,-0.431
180,15222.884,0.996,0.552,3.0,7.0,0.0,-15221.496,4.631,-0.472
181,15223.933,0.944,0.535,2.0,7.0,0.0,-15223.004,4.619,-0.433
182,15224.323,0.957,0.615,1.0,3.0,0.0,-15223.3,4.597,-0.41
